order_id,customer_id,product_id,category,price,discount,quantity,payment_method,order_date,delivered_date,region,returned,request_date,return_reason,total_amount,shipping_cost,profit,customer_age,customer_gender,calc_total,is_returned,returned_amount,net_sales,gross_before_discount,discount_amount,delivery_days,return_lag_days,year_month,year,quarter,weekday,month_num,age_group,price_band,discount_band,delivery_band,profit_pct_of_sales,net_profit,is_partial_month
O100011,C15334,P212540,Beauty,16.22,0.0,1,PayPal,2024-07-08,2024-07-13,South,No,,Not Returned,16.22,3.72,3.58,21,Other,16.22,0,0.0,16.22,16.22,0.0,5,,2024-07-01,2024,2024Q3,Monday,7,18-25,<$20,0%,4-5d,0.22071516646115907,3.58,0
O100012,C14426,P245991,Grocery,10.56,0.1,1,Credit Card,2024-10-13,2024-10-17,West,No,,Not Returned,9.5,4.99,-4.23,22,Female,9.504000000000001,0,0.0,9.5,10.56,1.0600000000000005,4,,2024-10-01,2024,2024Q4,Sunday,10,18-25,<$20,6-10%,4-5d,-0.44526315789473686,-4.23,0
O100013,C15578,P205339,Toys,7.12,0.0,1,Debit Card,2023-11-01,2023-11-06,North,No,,Not Returned,7.12,3.35,-0.5,56,Female,7.12,0,0.0,7.12,7.12,0.0,5,,2023-11-01,2023,2023Q4,Wednesday,11,56-69,<$20,0%,4-5d,-0.0702247191011236,-0.5,0
O100014,C16231,P227020,Home,39.19,0.0,2,Credit Card,2025-02-24,2025-02-27,North,No,,Not Returned,78.38,7.91,14.04,63,Male,78.38,0,0.0,78.38,78.38,0.0,3,,2025-02-01,2025,2025Q1,Monday,2,56-69,$20-50,0%,0-3d,0.17912732840010206,14.04,0
O100015,C13444,P227609,Home,12.63,0.2,4,Credit Card,2024-05-03,2024-05-06,North,No,,Not Returned,40.42,6.19,5.13,36,Male,40.416000000000004,0,0.0,40.42,50.52,10.100000000000001,3,,2024-05-01,2024,2024Q2,Friday,5,36-45,<$20,11-20%,0-3d,0.12691736763978229,5.13,0
O100016,C13171,P205848,Sports,96.61,0.05,1,PayPal,2024-08-25,2024-08-29,West,No,,Not Returned,91.78,3.6,23.93,47,Male,91.7795,0,0.0,91.78,96.61,4.829999999999998,4,,2024-08-01,2024,2024Q3,Sunday,8,46-55,$50-100,1-5%,4-5d,0.26073218566136414,23.93,0
O100017,C12919,P216877,Fashion,16.0,0.0,3,PayPal,2024-09-12,2024-09-17,South,No,,Not Returned,48.0,4.48,12.32,37,Male,48.0,0,0.0,48.0,48.0,0.0,5,,2024-09-01,2024,2024Q3,Thursday,9,36-45,<$20,0%,4-5d,0.25666666666666665,12.32,0
O100018,C17831,P218405,Electronics,734.32,0.0,2,Wallet,2025-06-20,2025-06-24,South,No,,Not Returned,1468.64,10.9,165.34,58,Female,1468.64,0,0.0,1468.64,1468.64,0.0,4,,2025-06-01,2025,2025Q2,Friday,6,56-69,$500+,0%,4-5d,0.11258034644296763,165.34,0
O100019,C10130,P248629,Fashion,50.52,0.0,1,Credit Card,2024-10-10,2024-10-13,North,Yes,2024-10-16,Missing/Wrong item,50.52,6.2,11.48,56,Male,50.52,1,50.52,0.0,50.52,0.0,3,3.0,2024-10-01,2024,2024Q4,Thursday,10,56-69,$50-100,0%,0-3d,0.22723673792557403,0.0,0
O100020,C11685,P246233,Toys,17.99,0.0,2,PayPal,2024-05-10,2024-05-14,West,No,,Not Returned,35.98,5.56,8.83,64,Female,35.98,0,0.0,35.98,35.98,0.0,4,,2024-05-01,2024,2024Q2,Friday,5,56-69,<$20,0%,4-5d,0.245414118954975,8.83,0
O100021,C17476,P221471,Fashion,39.54,0.0,1,COD,2024-11-14,2024-11-20,North,No,,Not Returned,39.54,5.3,8.54,49,Other,39.54,0,0.0,39.54,39.54,0.0,6,,2024-11-01,2024,2024Q4,Thursday,11,46-55,$20-50,0%,6-7d,0.2159838138593829,8.54,0
O100022,C10769,P203302,Electronics,128.8,0.0,1,Debit Card,2024-12-14,2024-12-18,North,No,,Not Returned,128.8,7.77,7.69,41,Female,128.8,0,0.0,128.8,128.8,0.0,4,,2024-12-01,2024,2024Q4,Saturday,12,36-45,$100-250,0%,4-5d,0.05970496894409938,7.69,0
O100023,C12391,P214437,Fashion,176.45,0.0,1,Debit Card,2025-05-16,2025-05-23,South,No,,Not Returned,176.45,6.67,55.09,34,Male,176.45,0,0.0,176.45,176.45,0.0,7,,2025-05-01,2025,2025Q2,Friday,5,26-35,$100-250,0%,6-7d,0.3122130915273449,55.09,0
O100024,C15611,P247930,Sports,345.57,0.15,2,Debit Card,2024-04-16,2024-04-21,Central,No,,Not Returned,587.47,9.48,166.76,32,Female,587.4689999999999,0,0.0,587.47,691.14,103.66999999999996,5,,2024-04-01,2024,2024Q2,Tuesday,4,26-35,$250-500,11-20%,4-5d,0.28386130355592626,166.76,0
O100025,C17581,P214512,Beauty,12.49,0.0,3,UPI,2024-08-31,2024-09-07,East,No,,Not Returned,37.47,5.46,11.4,49,Female,37.47,0,0.0,37.47,37.47,0.0,7,,2024-08-01,2024,2024Q3,Saturday,8,46-55,<$20,0%,6-7d,0.30424339471577266,11.4,0
O100026,C16949,P232436,Sports,157.21,0.15,1,Debit Card,2025-08-26,2025-08-31,South,No,,Not Returned,133.63,6.75,33.34,20,Female,133.6285,0,0.0,133.63,157.21,23.580000000000013,5,,2025-08-01,2025,2025Q3,Tuesday,8,18-25,$100-250,11-20%,4-5d,0.24949487390556016,33.34,0
O100027,C12433,P223511,Fashion,11.24,0.0,2,Debit Card,2025-08-19,2025-08-23,West,No,,Not Returned,22.48,6.09,1.78,60,Female,22.48,0,0.0,22.48,22.48,0.0,4,,2025-08-01,2025,2025Q3,Tuesday,8,56-69,<$20,0%,4-5d,0.0791814946619217,1.78,0
O100028,C15311,P205022,Grocery,20.97,0.0,2,PayPal,2024-05-27,2024-06-02,South,No,,Not Returned,41.94,4.61,-1.25,61,Female,41.94,0,0.0,41.94,41.94,0.0,6,,2024-05-01,2024,2024Q2,Monday,5,56-69,$20-50,0%,6-7d,-0.029804482594182165,-1.25,0
O100029,C15051,P243239,Home,54.42,0.0,2,UPI,2023-10-11,2023-10-17,East,No,,Not Returned,108.84,8.05,22.43,36,Female,108.84,0,0.0,108.84,108.84,0.0,6,,2023-10-01,2023,2023Q4,Wednesday,10,36-45,$50-100,0%,6-7d,0.20608232267548696,22.43,0
O100030,C16420,P206155,Home,54.93,0.15,1,Credit Card,2023-11-12,2023-11-18,South,No,,Not Returned,46.69,5.74,7.33,44,Male,46.6905,0,0.0,46.69,54.93,8.240000000000002,6,,2023-11-01,2023,2023Q4,Sunday,11,36-45,$50-100,11-20%,6-7d,0.1569929321053759,7.33,0
O100031,C11184,P231480,Grocery,10.32,0.15,1,Debit Card,2024-04-08,2024-04-15,East,No,,Not Returned,8.77,1.24,-0.54,32,Male,8.772,0,0.0,8.77,10.32,1.5500000000000007,7,,2024-04-01,2024,2024Q2,Monday,4,26-35,<$20,11-20%,6-7d,-0.061573546180159644,-0.54,0
O100032,C14555,P238022,Grocery,7.56,0.0,1,Credit Card,2023-12-30,2024-01-04,North,No,,Not Returned,7.56,2.06,-1.46,61,Female,7.56,0,0.0,7.56,7.56,0.0,5,,2023-12-01,2023,2023Q4,Saturday,12,56-69,<$20,0%,4-5d,-0.19312169312169314,-1.46,0
O100033,C13385,P225332,Sports,22.33,0.05,1,Credit Card,2024-08-06,2024-08-10,South,No,,Not Returned,21.21,4.26,2.1,26,Male,21.213499999999996,0,0.0,21.21,22.33,1.1199999999999974,4,,2024-08-01,2024,2024Q3,Tuesday,8,26-35,$20-50,1-5%,4-5d,0.09900990099009901,2.1,0
O100034,C14117,P204354,Grocery,12.84,0.0,2,Debit Card,2024-08-08,2024-08-11,North,No,,Not Returned,25.68,6.32,-4.27,21,Female,25.68,0,0.0,25.68,25.68,0.0,3,,2024-08-01,2024,2024Q3,Thursday,8,18-25,<$20,0%,0-3d,-0.16627725856697817,-4.27,0
O100035,C16396,P231847,Beauty,8.89,0.0,2,Credit Card,2024-04-04,2024-04-08,South,No,,Not Returned,17.78,4.78,3.22,19,Female,17.78,0,0.0,17.78,17.78,0.0,4,,2024-04-01,2024,2024Q2,Thursday,4,18-25,<$20,0%,4-5d,0.18110236220472442,3.22,0
O100036,C14843,P235284,Fashion,33.9,0.0,2,Debit Card,2025-05-27,2025-06-01,South,No,,Not Returned,67.8,4.98,18.75,28,Female,67.8,0,0.0,67.8,67.8,0.0,5,,2025-05-01,2025,2025Q2,Tuesday,5,26-35,$20-50,0%,4-5d,0.27654867256637167,18.75,0
O100037,C12904,P248640,Fashion,17.92,0.0,1,Credit Card,2024-07-10,2024-07-15,West,No,,Not Returned,17.92,5.86,0.41,28,Male,17.92,0,0.0,17.92,17.92,0.0,5,,2024-07-01,2024,2024Q3,Wednesday,7,26-35,<$20,0%,4-5d,0.02287946428571428,0.41,0
O100038,C17728,P210156,Beauty,50.75,0.0,2,Credit Card,2025-02-13,2025-02-20,West,No,,Not Returned,101.5,6.46,39.22,46,Female,101.5,0,0.0,101.5,101.5,0.0,7,,2025-02-01,2025,2025Q1,Thursday,2,46-55,$50-100,0%,6-7d,0.3864039408866995,39.22,0
O100039,C10474,P222453,Beauty,13.11,0.15,1,Credit Card,2024-08-17,2024-08-23,West,No,,Not Returned,11.14,4.4,0.61,51,Female,11.1435,0,0.0,11.14,13.11,1.9699999999999989,6,,2024-08-01,2024,2024Q3,Saturday,8,46-55,<$20,11-20%,6-7d,0.05475763016157989,0.61,0
O100040,C11082,P232689,Home,297.65,0.1,1,UPI,2023-12-09,2023-12-13,South,No,,Not Returned,267.88,7.49,67.52,20,Female,267.885,0,0.0,267.88,297.65,29.769999999999982,4,,2023-12-01,2023,2023Q4,Saturday,12,18-25,$250-500,6-10%,4-5d,0.25205315813050616,67.52,0
O100041,C12558,P223758,Grocery,6.2,0.0,1,COD,2024-03-31,2024-04-04,West,No,,Not Returned,6.2,2.5,-2.0,35,Male,6.2,0,0.0,6.2,6.2,0.0,4,,2024-03-01,2024,2024Q1,Sunday,3,26-35,<$20,0%,4-5d,-0.3225806451612903,-2.0,0
O100042,C17849,P208838,Home,36.05,0.0,2,COD,2025-02-03,2025-02-07,North,No,,Not Returned,72.1,7.24,12.95,36,Female,72.1,0,0.0,72.1,72.1,0.0,4,,2025-02-01,2025,2025Q1,Monday,2,36-45,$20-50,0%,4-5d,0.1796116504854369,12.95,0
O100043,C12047,P245502,Fashion,47.26,0.15,1,UPI,2023-10-31,2023-11-05,South,No,,Not Returned,40.17,4.94,9.12,48,Male,40.171,0,0.0,40.17,47.26,7.089999999999996,5,,2023-10-01,2023,2023Q4,Tuesday,10,46-55,$20-50,11-20%,4-5d,0.22703510082150857,9.12,0
O100044,C17643,P243790,Electronics,313.25,0.0,1,Debit Card,2024-09-27,2024-10-05,Central,No,,Not Returned,313.25,8.96,28.63,53,Male,313.25,0,0.0,313.25,313.25,0.0,8,,2024-09-01,2024,2024Q3,Friday,9,46-55,$250-500,0%,8-10d,0.09139664804469273,28.63,0
O100045,C12747,P237976,Grocery,13.7,0.1,3,COD,2025-04-11,2025-04-15,West,No,,Not Returned,36.99,4.09,-1.13,62,Male,36.989999999999995,0,0.0,36.99,41.099999999999994,4.109999999999992,4,,2025-04-01,2025,2025Q2,Friday,4,56-69,<$20,6-10%,4-5d,-0.03054879697215463,-1.13,0
O100046,C10975,P249346,Toys,9.07,0.0,3,Debit Card,2024-01-11,2024-01-16,South,No,,Not Returned,27.21,6.05,4.83,30,Female,27.21,0,0.0,27.21,27.21,0.0,5,,2024-01-01,2024,2024Q1,Thursday,1,26-35,<$20,0%,4-5d,0.17750826901874311,4.83,0
O100047,C11806,P213725,Beauty,12.45,0.0,2,Credit Card,2025-05-03,2025-05-08,West,No,,Not Returned,24.9,5.18,6.02,58,Male,24.9,0,0.0,24.9,24.9,0.0,5,,2025-05-01,2025,2025Q2,Saturday,5,56-69,<$20,0%,4-5d,0.24176706827309236,6.02,0
O100048,C10189,P209337,Toys,7.33,0.0,1,Credit Card,2025-03-19,2025-03-24,North,No,,Not Returned,7.33,3.86,-0.93,55,Female,7.33,0,0.0,7.33,7.33,0.0,5,,2025-03-01,2025,2025Q1,Wednesday,3,46-55,<$20,0%,4-5d,-0.12687585266030013,-0.93,0
O100049,C17101,P210701,Toys,53.85,0.05,1,Credit Card,2025-03-12,2025-03-17,South,No,,Not Returned,51.16,5.96,14.5,35,Female,51.1575,0,0.0,51.16,53.85,2.690000000000005,5,,2025-03-01,2025,2025Q1,Wednesday,3,26-35,$50-100,1-5%,4-5d,0.28342455043002346,14.5,0
O100050,C12734,P229811,Grocery,16.12,0.0,1,COD,2025-07-14,2025-07-22,East,No,,Not Returned,16.12,4.76,-3.47,66,Female,16.12,0,0.0,16.12,16.12,0.0,8,,2025-07-01,2025,2025Q3,Monday,7,56-69,<$20,0%,8-10d,-0.2152605459057072,-3.47,0
O100051,C13005,P243043,Home,195.87,0.0,4,Credit Card,2024-12-31,2025-01-05,West,No,,Not Returned,783.48,10.37,209.0,43,Female,783.48,0,0.0,783.48,783.48,0.0,5,,2024-12-01,2024,2024Q4,Tuesday,12,36-45,$100-250,0%,4-5d,0.2667585643539082,209.0,0
O100052,C14658,P238978,Beauty,8.29,0.0,1,PayPal,2024-09-16,2024-09-20,North,No,,Not Returned,8.29,2.98,0.75,67,Male,8.29,0,0.0,8.29,8.29,0.0,4,,2024-09-01,2024,2024Q3,Monday,9,56-69,<$20,0%,4-5d,0.09047044632086852,0.75,0
O100053,C11899,P229316,Electronics,402.13,0.0,2,PayPal,2024-01-24,2024-01-29,South,No,,Not Returned,804.26,9.93,86.58,40,Female,804.26,0,0.0,804.26,804.26,0.0,5,,2024-01-01,2024,2024Q1,Wednesday,1,36-45,$250-500,0%,4-5d,0.10765175440777858,86.58,0
O100054,C17734,P211544,Grocery,19.94,0.05,1,Debit Card,2023-12-29,2024-01-04,East,No,,Not Returned,18.94,4.96,-3.44,55,Female,18.943,0,0.0,18.94,19.94,1.0,6,,2023-12-01,2023,2023Q4,Friday,12,46-55,<$20,1-5%,6-7d,-0.1816261879619852,-3.44,0
O100055,C11267,P221514,Grocery,6.52,0.0,2,Debit Card,2023-11-23,2023-11-28,South,No,,Not Returned,13.04,4.73,-3.69,60,Male,13.04,0,0.0,13.04,13.04,0.0,5,,2023-11-01,2023,2023Q4,Thursday,11,56-69,<$20,0%,4-5d,-0.2829754601226994,-3.69,0
O100056,C16975,P216327,Toys,5.38,0.1,1,COD,2023-12-18,2023-12-21,Central,No,,Not Returned,4.84,3.91,-1.97,57,Female,4.842,0,0.0,4.84,5.38,0.54,3,,2023-12-01,2023,2023Q4,Monday,12,56-69,<$20,6-10%,0-3d,-0.4070247933884298,-1.97,0
O100057,C11528,P246809,Home,167.21,0.0,4,Wallet,2023-12-06,2023-12-09,North,No,,Not Returned,668.84,8.88,178.4,37,Female,668.84,0,0.0,668.84,668.84,0.0,3,,2023-12-01,2023,2023Q4,Wednesday,12,36-45,$100-250,0%,0-3d,0.2667304587046229,178.4,0
O100058,C13202,P216705,Home,134.37,0.15,1,Wallet,2024-10-30,2024-11-02,Central,No,,Not Returned,114.21,6.65,25.33,53,Male,114.2145,0,0.0,114.21,134.37,20.16000000000001,3,,2024-10-01,2024,2024Q4,Wednesday,10,46-55,$100-250,11-20%,0-3d,0.22178443218632343,25.33,0
O100059,C13556,P210479,Home,122.85,0.0,3,COD,2024-08-16,2024-08-20,North,No,,Not Returned,368.55,7.27,95.92,69,Female,368.54999999999995,0,0.0,368.55,368.54999999999995,-5.684341886080802e-14,4,,2024-08-01,2024,2024Q3,Friday,8,56-69,$100-250,0%,4-5d,0.26026319359652694,95.92,0
O100060,C13890,P211323,Fashion,14.91,0.0,1,UPI,2024-12-01,2024-12-06,West,No,,Not Returned,14.91,4.93,0.29,69,Male,14.91,0,0.0,14.91,14.91,0.0,5,,2024-12-01,2024,2024Q4,Sunday,12,56-69,<$20,0%,4-5d,0.019450033534540577,0.29,0
O100061,C10646,P212937,Beauty,10.46,0.0,1,Credit Card,2023-11-13,2023-11-17,North,No,,Not Returned,10.46,3.14,1.57,25,Other,10.46,0,0.0,10.46,10.46,0.0,4,,2023-11-01,2023,2023Q4,Monday,11,18-25,<$20,0%,4-5d,0.15009560229445507,1.57,0
O100062,C16164,P223089,Electronics,368.67,0.0,1,Debit Card,2024-06-26,2024-07-02,West,No,,Not Returned,368.67,9.91,34.33,36,Male,368.67,0,0.0,368.67,368.67,0.0,6,,2024-06-01,2024,2024Q2,Wednesday,6,36-45,$250-500,0%,6-7d,0.09311850706593972,34.33,0
O100063,C12888,P201702,Grocery,13.52,0.1,1,Debit Card,2025-06-24,2025-06-29,West,No,,Not Returned,12.17,2.07,-1.1,22,Female,12.168,0,0.0,12.17,13.52,1.3499999999999996,5,,2025-06-01,2025,2025Q2,Tuesday,6,18-25,<$20,6-10%,4-5d,-0.0903861955628595,-1.1,0
O100064,C16310,P210404,Home,116.53,0.05,1,Credit Card,2024-01-22,2024-01-26,West,No,,Not Returned,110.7,6.97,24.03,59,Male,110.70349999999999,0,0.0,110.7,116.53,5.829999999999998,4,,2024-01-01,2024,2024Q1,Monday,1,56-69,$100-250,1-5%,4-5d,0.21707317073170732,24.03,0
O100065,C15393,P233598,Grocery,20.24,0.0,1,COD,2025-06-23,2025-06-28,North,No,,Not Returned,20.24,4.74,-3.12,65,Male,20.24,0,0.0,20.24,20.24,0.0,5,,2025-06-01,2025,2025Q2,Monday,6,56-69,$20-50,0%,4-5d,-0.15415019762845852,-3.12,0
O100066,C12435,P208380,Sports,175.75,0.15,1,Debit Card,2025-09-03,2025-09-08,West,No,,Not Returned,149.39,6.15,38.67,58,Female,149.3875,0,0.0,149.39,175.75,26.360000000000014,5,,2025-09-01,2025,2025Q3,Wednesday,9,56-69,$100-250,11-20%,4-5d,0.25885266751455926,38.67,1
O100067,C10600,P221990,Fashion,20.91,0.0,1,UPI,2024-02-14,2024-02-18,North,Yes,2024-03-15,No longer needed,20.91,4.04,3.28,50,Male,20.91,1,20.91,0.0,20.91,0.0,4,26.0,2024-02-01,2024,2024Q1,Wednesday,2,46-55,$20-50,0%,4-5d,0.1568627450980392,0.0,0
O100068,C12363,P232859,Fashion,13.43,0.0,4,PayPal,2023-12-15,2023-12-19,South,No,,Not Returned,53.72,6.26,12.54,30,Male,53.72,0,0.0,53.72,53.72,0.0,4,,2023-12-01,2023,2023Q4,Friday,12,26-35,<$20,0%,4-5d,0.2334326135517498,12.54,0
O100069,C12061,P203877,Grocery,3.96,0.2,1,PayPal,2023-11-22,2023-11-27,East,No,,Not Returned,3.17,3.06,-2.81,44,Female,3.168,0,0.0,3.17,3.96,0.79,5,,2023-11-01,2023,2023Q4,Wednesday,11,36-45,<$20,11-20%,4-5d,-0.886435331230284,-2.81,0
O100070,C10241,P242871,Toys,8.5,0.0,2,Debit Card,2024-05-30,2024-06-07,South,No,,Not Returned,17.0,3.51,3.29,25,Female,17.0,0,0.0,17.0,17.0,0.0,8,,2024-05-01,2024,2024Q2,Thursday,5,18-25,<$20,0%,8-10d,0.1935294117647059,3.29,0
O100071,C12041,P218720,Fashion,150.12,0.0,3,Debit Card,2024-10-18,2024-10-22,West,No,,Not Returned,450.36,8.26,149.37,28,Female,450.36,0,0.0,450.36,450.36,0.0,4,,2024-10-01,2024,2024Q4,Friday,10,26-35,$100-250,0%,4-5d,0.33166799893418597,149.37,0
O100072,C12824,P207676,Electronics,97.95,0.1,1,Debit Card,2024-09-21,2024-09-27,East,No,,Not Returned,88.16,6.72,3.86,53,Male,88.155,0,0.0,88.16,97.95,9.790000000000006,6,,2024-09-01,2024,2024Q3,Saturday,9,46-55,$50-100,6-10%,6-7d,0.04378402903811252,3.86,0
O100073,C17513,P231818,Sports,217.48,0.0,1,Credit Card,2025-02-24,2025-03-02,South,No,,Not Returned,217.48,7.67,57.57,24,Male,217.48,0,0.0,217.48,217.48,0.0,6,,2025-02-01,2025,2025Q1,Monday,2,18-25,$100-250,0%,6-7d,0.26471399668935075,57.57,0
O100074,C12612,P234348,Fashion,16.18,0.0,2,Credit Card,2024-12-06,2024-12-10,South,No,,Not Returned,32.36,4.73,6.6,69,Male,32.36,0,0.0,32.36,32.36,0.0,4,,2024-12-01,2024,2024Q4,Friday,12,56-69,<$20,0%,4-5d,0.20395550061804696,6.6,0
O100075,C17041,P248555,Fashion,26.06,0.05,3,COD,2023-12-21,2023-12-26,West,No,,Not Returned,74.27,6.24,19.75,46,Other,74.27099999999999,0,0.0,74.27,78.17999999999999,3.9099999999999966,5,,2023-12-01,2023,2023Q4,Thursday,12,46-55,$20-50,1-5%,4-5d,0.2659216372694224,19.75,0
O100076,C11363,P242368,Sports,23.23,0.3,2,Credit Card,2025-02-13,2025-02-17,Central,No,,Not Returned,32.52,5.1,4.66,31,Male,32.522,0,0.0,32.52,46.46,13.939999999999998,4,,2025-02-01,2025,2025Q1,Thursday,2,26-35,$20-50,21-30%,4-5d,0.14329643296432965,4.66,0
O100077,C16235,P248180,Sports,20.73,0.0,2,COD,2024-05-14,2024-05-19,West,No,,Not Returned,41.46,4.31,8.13,20,Female,41.46,0,0.0,41.46,41.46,0.0,5,,2024-05-01,2024,2024Q2,Tuesday,5,18-25,$20-50,0%,4-5d,0.19609261939218525,8.13,0
O100078,C15486,P224130,Home,23.16,0.0,1,UPI,2023-12-20,2023-12-23,Central,No,,Not Returned,23.16,4.81,1.67,45,Male,23.16,0,0.0,23.16,23.16,0.0,3,,2023-12-01,2023,2023Q4,Wednesday,12,36-45,$20-50,0%,0-3d,0.07210708117443869,1.67,0
O100079,C17099,P233241,Grocery,6.53,0.0,4,Credit Card,2024-06-28,2024-07-01,North,No,,Not Returned,26.12,6.21,-4.12,68,Male,26.12,0,0.0,26.12,26.12,0.0,3,,2024-06-01,2024,2024Q2,Friday,6,56-69,<$20,0%,0-3d,-0.15773353751914243,-4.12,0
O100080,C11478,P244392,Sports,82.93,0.05,1,Wallet,2024-03-13,2024-03-17,West,No,,Not Returned,78.78,8.3,15.33,59,Female,78.7835,0,0.0,78.78,82.93,4.150000000000006,4,,2024-03-01,2024,2024Q1,Wednesday,3,56-69,$50-100,1-5%,4-5d,0.19459253617669459,15.33,0
O100081,C17595,P249421,Grocery,3.95,0.0,1,Wallet,2025-01-23,2025-01-27,West,No,,Not Returned,3.95,2.63,-2.31,38,Female,3.95,0,0.0,3.95,3.95,0.0,4,,2025-01-01,2025,2025Q1,Thursday,1,36-45,<$20,0%,4-5d,-0.5848101265822785,-2.31,0
O100082,C12556,P226620,Fashion,137.66,0.0,1,UPI,2025-04-20,2025-04-24,South,No,,Not Returned,137.66,7.01,41.17,50,Female,137.66,0,0.0,137.66,137.66,0.0,4,,2025-04-01,2025,2025Q2,Sunday,4,46-55,$100-250,0%,4-5d,0.2990701728897283,41.17,0
O100083,C10775,P217077,Fashion,48.41,0.1,4,Credit Card,2023-09-23,2023-09-29,West,No,,Not Returned,174.28,8.27,52.73,29,Female,174.27599999999998,0,0.0,174.28,193.64,19.359999999999985,6,,2023-09-01,2023,2023Q3,Saturday,9,26-35,$20-50,6-10%,6-7d,0.3025591002983704,52.73,1
O100084,C14014,P212663,Electronics,753.1,0.05,1,Debit Card,2024-06-08,2024-06-12,South,No,,Not Returned,715.44,10.44,75.41,28,Male,715.4449999999999,0,0.0,715.44,753.1,37.65999999999997,4,,2024-06-01,2024,2024Q2,Saturday,6,26-35,$500+,1-5%,4-5d,0.10540366767304035,75.41,0
O100085,C10034,P217799,Fashion,12.92,0.0,3,Wallet,2025-08-04,2025-08-08,South,No,,Not Returned,38.76,6.83,6.74,20,Female,38.76,0,0.0,38.76,38.76,0.0,4,,2025-08-01,2025,2025Q3,Monday,8,18-25,<$20,0%,4-5d,0.17389060887512903,6.74,0
